"DATE","REGION","AGEGROUP","Female","Male","All"
2020-08-19,"Brussels","90+",1.71428571428571,0.714285714285714,2.42857142857143
2020-08-19,"Flanders","0-9",5.57142857142857,7.57142857142857,13.1428571428571
2020-08-19,"Flanders","10-19",18.7142857142857,18.2857142857143,37
2020-08-19,"Flanders","20-29",26.1428571428571,21.7142857142857,47.8571428571429
2020-08-19,"Flanders","30-39",22.5714285714286,19.5714285714286,42.1428571428571
2020-08-19,"Flanders","40-49",20.8571428571429,20.8571428571429,41.7142857142857
2020-08-19,"Flanders","50-59",13,15.7142857142857,28.7142857142857
2020-08-19,"Flanders","60-69",6,7.42857142857143,13.4285714285714
2020-08-19,"Flanders","70-79",2.85714285714286,3,5.85714285714286
2020-08-19,"Flanders","80-89",5.57142857142857,2.57142857142857,8.14285714285714
2020-08-19,"Flanders","90+",5.14285714285714,1.57142857142857,6.71428571428571
2020-08-19,"Wallonia","0-9",3.28571428571429,2.71428571428571,6
2020-08-19,"Wallonia","10-19",9.71428571428571,9.71428571428571,19.4285714285714
2020-08-19,"Wallonia","20-29",12.5714285714286,12.5714285714286,25.1428571428571
2020-08-19,"Wallonia","30-39",10.4285714285714,10,20.4285714285714
2020-08-19,"Wallonia","40-49",9.85714285714286,9.57142857142857,19.4285714285714
2020-08-19,"Wallonia","50-59",7.85714285714286,10.5714285714286,18.4285714285714
2020-08-19,"Wallonia","60-69",4.85714285714286,3.85714285714286,8.71428571428571
2020-08-19,"Wallonia","70-79",2.28571428571429,1.71428571428571,4
2020-08-19,"Wallonia","80-89",2.85714285714286,0.714285714285714,3.57142857142857
2020-08-19,"Wallonia","90+",1.85714285714286,0.285714285714286,2.14285714285714
2020-08-20,"Brussels","0-9",4.57142857142857,3.14285714285714,7.71428571428571
2020-08-20,"Brussels","10-19",7.28571428571429,7.28571428571429,14.5714285714286
2020-08-20,"Brussels","20-29",15.8571428571429,11,26.8571428571429
2020-08-20,"Brussels","30-39",13.2857142857143,11.7142857142857,25
2020-08-20,"Brussels","40-49",8.57142857142857,11.4285714285714,20
2020-08-20,"Brussels","50-59",8.71428571428571,11.1428571428571,19.8571428571429
2020-08-20,"Brussels","60-69",3.28571428571429,3.57142857142857,6.85714285714286
2020-08-20,"Brussels","70-79",2.85714285714286,2.71428571428571,5.57142857142857
2020-08-20,"Brussels","80-89",1.85714285714286,1.71428571428571,3.57142857142857
2020-08-20,"Flanders","0-9",5.28571428571429,6.85714285714286,12.1428571428571
2020-08-20,"Flanders","10-19",20.5714285714286,17.8571428571429,38.4285714285714
2020-08-20,"Flanders","20-29",26.5714285714286,21.1428571428571,47.7142857142857
2020-08-20,"Flanders","30-39",22.5714285714286,20,42.5714285714286
2020-08-20,"Flanders","40-49",20.2857142857143,19.5714285714286,39.8571428571429
2020-08-20,"Flanders","50-59",12,15.2857142857143,27.2857142857143
2020-08-20,"Flanders","60-69",6.28571428571429,7.57142857142857,13.8571428571429
2020-08-20,"Flanders","70-79",2.28571428571429,2.85714285714286,5.14285714285714
2020-08-20,"Flanders","80-89",3.57142857142857,1.57142857142857,5.14285714285714
2020-08-20,"Flanders","90+",4.57142857142857,0.714285714285714,5.28571428571429
2020-08-20,"Wallonia","0-9",2.85714285714286,3,5.85714285714286
2020-08-20,"Wallonia","10-19",9.14285714285714,9.14285714285714,18.2857142857143
2020-08-20,"Wallonia","20-29",11.7142857142857,14.8571428571429,26.5714285714286
2020-08-20,"Wallonia","30-39",10.8571428571429,8.85714285714286,19.7142857142857
2020-08-20,"Wallonia","40-49",8.85714285714286,8.42857142857143,17.2857142857143
2020-08-20,"Wallonia","50-59",6.71428571428571,10.2857142857143,17
2020-08-20,"Wallonia","60-69",4.14285714285714,3.42857142857143,7.57142857142857
2020-08-20,"Wallonia","70-79",2.71428571428571,1.42857142857143,4.14285714285714
2020-08-20,"Wallonia","80-89",2.85714285714286,0.857142857142857,3.71428571428571
2020-08-20,"Wallonia","90+",2,0.285714285714286,2.28571428571429
2020-08-21,"Brussels","0-9",4.14285714285714,4,8.14285714285714
2020-08-21,"Brussels","10-19",8.57142857142857,7.85714285714286,16.4285714285714
2020-08-21,"Brussels","20-29",16.7142857142857,12,28.7142857142857
2020-08-21,"Brussels","30-39",13.5714285714286,11,24.5714285714286
2020-08-21,"Brussels","40-49",8.57142857142857,11.1428571428571,19.7142857142857
2020-08-21,"Brussels","50-59",8.28571428571429,10,18.2857142857143
2020-08-21,"Brussels","60-69",3.57142857142857,3.28571428571429,6.85714285714286
2020-08-21,"Brussels","70-79",2.42857142857143,2.85714285714286,5.28571428571429
2020-08-21,"Brussels","80-89",1.71428571428571,1.28571428571429,3
